country,round,year,month,group,grouplabel,obs,obs_vac,zpub,xppe,xppe_allsome__001,xppe_allsome__002,xppe_allsome__003,xppe_allsome__004,xppe_allsome__005,xppe_allsome__006,xppe_allsome_score,xppe_allsome_100,xppe_allsome_50,xppe_all__001,xppe_all__002,xppe_all__003,xppe_all__004,xppe_all__005,xppe_all__006,xppe_all_score,xppe_all_100,xppe_all_50,xvac,xvac_av_fridge,xvac_avfun_fridge,xvac_avfun_fridgetemp,xvac_av_coldbox,xvac_avfun_coldbox_all,xvac_avfun_coldbox_all_full,xvac_av_carrier,xvac_avfun_carrier_all,xvac_avfun_carrier_all_full,xvac_av_outreach,xvac_avfun_outreach_all_full,xvac_sharp,xresult,zlevel_3cat,zurban,updatedate,updatetime
Kenya,1,2020,12,All,All,118,107,,96,71,74,74,70,69,95,75,64,75,34,58,27,27,24,91,44,15,39,91,96,96,93,77,75,58,94,88,69,99,73,99,100,,,21Dec2020,14:30:05
Kenya,1,2020,12,Level,Level 2-3,45,38,,89,29,33,36,29,24,89,40,13,38,16,24,9,9,9,84,25,2,16,84,92,92,84,55,53,42,92,87,63,97,68,97,100,Level 2-3,,21Dec2020,14:30:05
Kenya,1,2020,12,Level,Level 4,47,44,,100,96,98,98,96,96,98,97,94,98,40,72,34,34,26,94,50,17,49,94,100,100,100,84,82,55,95,84,64,100,66,100,100,Level 4,,21Dec2020,14:30:05
Kenya,1,2020,12,Level,Level 5-6,26,25,,100,100,100,96,96,96,100,98,96,100,54,92,46,46,46,96,63,35,62,96,96,96,96,96,96,88,96,96,88,100,92,100,100,Level 5-6,,21Dec2020,14:30:05
Kenya,1,2020,12,Sector,Non-public,30,25,Non-public,93,70,80,70,67,70,93,75,57,83,33,60,30,33,40,93,48,23,47,83,92,92,92,88,88,80,92,88,76,96,84,100,100,,,21Dec2020,14:30:05
Kenya,1,2020,12,Sector,Public,88,82,Public,97,72,72,75,72,68,95,76,66,73,34,58,26,25,18,90,42,13,36,93,98,98,94,73,71,51,95,88,67,100,70,99,100,,,21Dec2020,14:30:05
Kenya,1,2020,12,Location,Rural,67,61,,92,52,55,58,52,51,91,60,43,58,21,39,18,21,19,87,34,10,28,91,93,93,89,67,64,39,93,84,56,98,59,98,100,,Rural,21Dec2020,14:30:05
Kenya,1,2020,12,Location,Urban,51,46,,100,96,98,94,94,92,100,96,90,98,51,84,39,35,29,96,56,22,53,90,100,100,100,89,89,83,96,93,87,100,91,100,100,,Urban,21Dec2020,14:30:05
